start,fa,count,n_core,bin_us,n_det_hit,det_frac_max,max_mult,multiplet_frac,f3,pi_med,pi_ge_368,n_acd,n_acd_multi,n_acd_bg,cpd_10us,cpd_100us,cpd_1ms,cpd_10ms,cpd_env,base_zero,base_len,gti_live_s,gti_nominal_s
2021-05-15T08:38:22.507833391Z,3.033e-273,190,190,232.324,25,0.068,2,0.011,0.000,220,0.200,8,0,1546,4,6,8,16,1554,0,25,2.000,2.000
2021-05-16T08:43:35.338373154Z,2.912e-63,55,55,107.899,23,0.109,1,0.000,0.000,206,0.164,0,0,1367,0,0,0,16,1366,0,25,2.000,2.000
2021-05-20T03:11:30.152736291Z,5.838e-175,109,109,93.207,24,0.064,2,0.055,0.000,277,0.294,4,4,1110,4,4,4,13,1114,0,25,2.000,2.000
2021-06-13T07:52:49.275229498Z,2.018e-170,105,105,68.650,24,0.076,2,0.095,0.000,245,0.238,5,4,2013,4,4,5,24,2017,0,25,2.000,2.000
2021-06-20T15:37:51.776193350Z,1.300e-98,78,78,117.049,25,0.077,2,0.026,0.000,227,0.154,5,2,1572,4,5,5,19,1574,0,25,2.000,2.000
2021-07-04T06:17:09.805318623Z,1.034e-82,72,72,217.527,24,0.097,2,0.028,0.000,183,0.028,1,0,716,1,1,1,4,717,0,25,2.000,2.000
2021-07-10T21:19:04.518561780Z,2.608e-187,178,178,701.785,25,0.067,2,0.079,0.000,228,0.213,4,0,924,3,3,4,11,928,0,25,2.001,2.001
2021-07-13T05:23:50.409669369Z,1.682e-21,18,18,11.474,18,0.056,5,0.833,0.611,175,0.111,0,0,2269,0,0,3,27,2268,0,25,2.000,2.000
2021-07-13T05:25:12.931520134Z,5.503e-17,15,15,8.285,13,0.133,4,1.000,0.867,172,0.000,0,0,2325,0,0,4,21,2324,0,25,2.000,2.000
2021-07-13T05:25:32.319186374Z,1.028e-26,23,23,19.744,21,0.087,4,0.870,0.783,221,0.174,3,0,2410,1,1,4,28,2411,0,25,2.000,2.000
2021-07-13T21:40:50.042815402Z,1.168e-33,35,35,110.894,19,0.114,1,0.000,0.000,188,0.029,0,0,1002,0,0,0,9,1001,0,25,2.000,2.000
2021-07-13T23:05:32.965231001Z,5.547e-46,48,48,166.997,22,0.104,1,0.000,0.000,197,0.104,3,2,825,2,2,3,11,828,0,25,2.000,2.000
2021-07-21T19:38:54.538793325Z,1.064e-49,23,23,2.280,22,0.087,5,0.913,0.826,256,0.304,4,0,2099,1,1,6,19,2102,0,25,2.000,2.000
2021-07-21T20:47:36.298914059Z,1.654e-22,13,13,2.459,13,0.077,3,0.846,0.692,185,0.231,0,0,742,0,0,0,7,742,0,25,2.000,2.000
2021-07-21T20:47:40.807401463Z,1.629e-31,16,16,2.339,14,0.125,4,0.938,0.438,184,0.125,0,0,705,0,0,2,7,705,0,25,2.000,2.000
2021-07-22T23:38:31.513955742Z,3.099e-205,139,139,146.911,25,0.079,2,0.043,0.000,251,0.266,12,7,1679,9,9,13,28,1689,0,25,2.000,2.000
2021-08-01T04:38:29.069282323Z,5.374e-23,14,14,2.429,13,0.143,4,0.857,0.714,166,0.214,0,0,1584,0,0,0,19,1584,0,25,2.000,2.000
2021-08-14T09:54:29.176460236Z,0.000e+00,301,301,990.108,25,0.073,2,0.080,0.000,251,0.239,30,27,1742,29,29,30,35,1772,0,25,2.001,2.001
2021-08-15T00:21:21.284852370Z,2.024e-65,62,62,189.498,23,0.113,1,0.000,0.000,173,0.065,0,0,718,0,0,0,18,717,0,25,2.000,2.000
2021-08-16T15:11:40.192258507Z,1.144e-45,49,49,134.930,20,0.102,2,0.041,0.000,179,0.122,4,0,1521,2,2,5,17,1525,0,25,2.000,2.000
2021-08-16T17:02:27.907028809Z,5.830e-58,45,45,41.261,25,0.089,1,0.000,0.000,243,0.311,6,0,2473,2,2,7,33,2477,0,25,2.000,2.000
2021-08-16T17:02:57.687246158Z,2.341e-79,53,53,32.395,23,0.075,2,0.075,0.000,204,0.170,9,3,2460,4,4,10,27,2468,0,25,2.000,2.000
