group,latitude,longitude
assoc,14.8879,104.8661
sig,-3.4666,139.7606
sig,7.7128,343.2311
assoc,-12.7187,193.5352
assoc,2.4450,105.6942
assoc,12.7805,288.6475
sig,18.9157,181.5570
sig,4.6069,9.3553
assoc,2.8966,24.3088
assoc,-15.6593,135.9643
assoc,-6.6894,21.4481
sig,-6.9879,123.3717
assoc,6.0685,97.9753
sig,-11.8098,111.5297
assoc,6.9847,343.2546
sig,5.5267,82.2591
sig,-0.8575,15.6510
assoc,2.4726,129.7226
assoc,6.1033,292.0084
assoc,-15.5413,46.6611
assoc,9.0448,252.1906
assoc,7.2573,246.3383
assoc,9.4401,248.5284
assoc,-20.4778,140.9930
sig,-12.6409,124.3882
sig,0.7192,9.3338
assoc,10.9072,132.6463
assoc,-2.0696,22.7839
assoc,-2.4792,146.5199
sig,0.5052,21.2174
sig,-1.9401,20.5824
assoc,4.5765,284.0302
assoc,20.1755,321.2441
sig,-7.1964,114.7602
assoc,-9.3293,64.0813
assoc,24.3609,313.9871
assoc,2.1024,119.7640
assoc,4.6415,78.8209
sig,-18.4701,126.9796
sig,-14.4516,127.4180
sig,-22.2561,45.5115
sig,-0.1597,20.4161
assoc,-12.8051,120.2815
sig,2.5752,6.8419
sig,-14.5518,65.4913
sig,6.7205,113.0849
sig,6.7202,113.0852
assoc,-4.9944,153.1692
sig,-0.9852,11.3439
assoc,-4.0975,103.3412
sig,-3.6342,123.1061
sig,-18.3373,147.2341
sig,-6.2060,145.8428
sig,6.7688,104.8726
sig,-20.0443,137.1147
sig,-19.3522,137.9413
assoc,-15.0143,45.7795
assoc,-18.8054,126.8150
sig,-13.2319,140.7239
assoc,5.9341,121.8621
sig,-4.7736,132.2767
assoc,-14.5328,65.3668
assoc,4.2360,285.3127
sig,-6.3649,194.4923
sig,6.4858,165.7575
assoc,2.9630,169.2077
sig,-0.4366,26.8774
sig,3.6615,285.8274
sig,-16.8937,144.7512
assoc,1.4561,4.7884
assoc,-14.3195,127.3314
sig,-10.7161,125.9749
sig,-15.4324,126.9208
sig,-19.3398,200.1285
assoc,-14.7451,187.5264
sig,-0.1457,24.2224
assoc,-13.2335,128.4610
sig,-14.4810,125.8546
sig,-23.6522,63.9182
sig,-18.1137,28.7743
sig,-12.3193,117.2754
sig,-11.0090,118.6365
assoc,-20.0051,128.9176
assoc,-25.6423,117.5487
sig,-17.3707,15.7778
assoc,-18.9431,122.0815
assoc,13.9075,255.1287
sig,-25.0681,45.5209
sig,-19.7584,145.3647
assoc,-18.2702,147.1156
assoc,1.7603,115.0045
assoc,-16.0113,44.4977
sig,-17.6108,18.4279
sig,-14.2817,22.1170
assoc,-21.3988,202.5653
sig,-21.8902,174.8644
assoc,-24.8248,21.5698
assoc,-13.9646,54.8094
assoc,-1.1122,15.1288
assoc,6.6096,354.3331
sig,2.9949,7.2503
assoc,-15.0170,65.8039
sig,-15.6879,133.8309
assoc,-6.7068,143.1451
sig,-15.3888,37.0795
assoc,-0.0115,2.0727
sig,-2.5730,4.5539
assoc,-22.2924,118.7409
assoc,-10.3786,44.6488
assoc,-22.3698,224.0084
sig,-20.6156,124.7408
assoc,2.6087,339.3109
assoc,-22.3620,146.1754
sig,-2.0498,145.6222
sig,-10.4369,34.2265
assoc,-8.6134,148.0343
sig,-10.7937,126.8965
sig,-6.9844,106.4685
assoc,15.7883,143.8538
assoc,3.3449,11.3594
sig,-21.9529,29.3281
sig,-22.5112,30.0385
assoc,1.0254,98.1555
sig,-4.5170,143.9876
sig,-4.7898,144.2545
assoc,-1.7949,117.0697
sig,-2.5366,113.7467
sig,-5.7553,116.8903
sig,2.3812,343.5920
sig,-4.5152,156.1281
assoc,-3.2170,98.0557
assoc,-13.2702,205.2337
sig,-17.6080,40.3171
assoc,-9.9592,131.8268
sig,-4.6488,144.1308
sig,-15.3866,170.6033
sig,5.4476,94.3478
assoc,-25.4418,236.2377
assoc,-2.4852,137.9810
sig,-3.9280,115.1150
sig,-7.9559,119.0870
sig,-14.3410,167.6995
sig,-17.7838,42.5311
sig,7.6622,99.7714
sig,4.2110,6.0933
assoc,0.7728,98.4295
sig,-2.1237,291.3497
assoc,-1.0711,120.4430
sig,-2.3409,18.0396
sig,0.1949,20.4953
sig,-19.8442,214.0639
assoc,10.4185,125.3217
sig,-2.3555,113.6060
assoc,11.4087,249.7164
sig,0.7584,110.6189
assoc,6.8525,80.3973
assoc,-10.8468,49.2526
assoc,-15.7831,141.9161
sig,-5.5101,157.1738
assoc,-3.9568,121.6908
sig,2.8853,6.9790
sig,-2.9176,126.3350
sig,1.5532,356.6189
sig,-12.3207,127.6724
assoc,-14.3154,56.9796
assoc,-1.6999,111.7708
assoc,10.5253,99.5315
assoc,9.4136,1.3192
sig,-10.8860,50.0871
sig,-10.2836,50.7050
sig,-1.9748,109.2711
sig,3.9325,84.8897
sig,-12.9911,43.8547
sig,-15.2272,17.1821
sig,-2.6153,4.7415
assoc,10.5316,83.3888
sig,-8.9971,15.6295
sig,13.4292,102.0768
assoc,-15.6047,170.5036
sig,-1.7696,8.0145
sig,-13.5596,132.3045
assoc,-25.3813,186.8497
sig,0.0385,117.5881
sig,1.0772,17.4808
assoc,2.4928,14.8176
assoc,-0.3802,225.1536
sig,2.1780,101.3318
assoc,-8.8058,19.9642
assoc,-4.8487,152.6547
sig,25.9878,271.6157
sig,-3.4958,21.1752
assoc,-11.4635,102.6849
sig,2.5264,157.6655
assoc,-9.5451,145.2245
sig,5.1333,114.5295
assoc,-12.7094,144.4574
sig,-4.4122,101.2215
sig,4.7799,37.3415
assoc,-15.0055,118.6131
assoc,6.4063,277.5941
assoc,-14.9727,134.9369
sig,-4.0831,97.5091
assoc,6.0706,293.4647
sig,-3.0689,98.4145
