group,latitude,longitude
sig,7.9599,25.8346
assoc,2.1438,106.4892
assoc,3.4723,123.3534
assoc,8.9574,279.8558
sig,3.9577,66.4219
sig,-5.3800,111.5577
assoc,3.3742,107.5981
assoc,8.1668,98.9133
sig,4.5514,5.4279
assoc,9.8085,263.1446
sig,5.6809,98.5483
assoc,8.0711,100.9184
sig,5.6980,70.3399
assoc,20.7927,113.8489
sig,20.3323,90.1449
assoc,19.2024,274.8018
sig,6.5986,295.0774
assoc,6.8796,277.9978
sig,12.1936,283.3940
sig,-0.7754,100.6928
sig,25.0631,294.6505
sig,0.6813,26.0180
sig,2.0300,99.4485
sig,24.8770,112.6714
sig,18.2580,89.1346
sig,0.5295,107.3808
sig,-7.6677,98.4162
sig,22.6351,291.9192
sig,15.8533,259.6038
sig,16.7802,90.7953
assoc,6.5954,270.3033
sig,13.0835,276.9169
assoc,23.4042,281.3749
sig,21.5506,112.7817
sig,22.0437,113.2850
assoc,-5.4018,93.3417
assoc,-4.4576,106.0494
sig,14.4835,263.7000
assoc,4.4794,269.9330
assoc,4.8934,261.6084
sig,9.6859,346.7041
assoc,21.5879,262.8778
sig,12.0944,126.8507
assoc,7.3566,263.6525
assoc,22.5734,86.3699
assoc,3.7262,101.3271
sig,17.4600,266.3902
assoc,3.6379,218.7736
sig,5.4310,285.8538
sig,-10.7853,181.4536
sig,5.6290,193.6213
sig,12.4790,269.3858
sig,14.1593,265.0708
assoc,7.3453,284.4585
assoc,13.3050,136.7481
sig,9.5960,282.2173
sig,18.1845,162.7628
sig,22.0024,284.7317
sig,16.7731,145.3546
sig,6.1261,103.9644
assoc,7.5792,341.2040
sig,6.9844,341.7953
assoc,8.6993,282.3634
sig,14.8641,256.9122
sig,2.7215,33.8332
sig,8.1520,14.9120
assoc,-2.5793,104.5133
sig,3.6368,114.8392
sig,1.6139,116.8035
assoc,12.7506,271.5658
assoc,5.4451,263.2942
sig,9.6825,267.5216
sig,8.1600,282.3346
assoc,3.4751,196.2242
assoc,-4.4179,58.2955
sig,-10.7894,158.7212
sig,9.1197,344.2177
assoc,4.2888,90.4618
sig,-2.9109,93.4887
sig,-4.3048,135.4641
assoc,5.3995,101.7716
assoc,14.8061,168.4392
assoc,-15.6433,191.6593
sig,7.1412,282.2939
sig,-13.8594,153.5923
assoc,12.7236,264.7317
assoc,3.9390,279.2120
sig,7.5439,282.7618
assoc,7.9313,283.1484
assoc,10.8587,355.8105
assoc,9.3257,276.6378
assoc,13.2117,349.4938
assoc,5.1060,114.9811
sig,13.7073,277.2287
sig,2.9390,20.0367
assoc,23.9221,261.0749
assoc,20.1872,272.6924
assoc,11.0543,190.2481
assoc,6.6626,121.8879
sig,-4.2446,98.0062
assoc,9.3458,273.2362
assoc,25.0313,137.7574
assoc,3.5142,283.8208
assoc,6.1829,286.4347
assoc,5.1979,281.5119
sig,10.9774,263.0383
sig,23.9691,83.9239
sig,15.1089,117.8807
sig,-13.4550,182.3260
sig,17.4968,258.2111
assoc,6.1933,280.8600
assoc,24.0938,281.1935
sig,14.5106,271.2585
assoc,16.6695,265.7278
sig,-17.9619,56.5786
sig,-17.9594,56.5814
assoc,10.5563,277.0148
sig,8.0675,275.5808
assoc,2.5650,114.1440
sig,4.1995,281.6246
assoc,21.9958,276.5543
assoc,24.1400,279.3492
sig,12.5324,263.1054
sig,3.3913,301.1490
sig,15.4661,256.0039
sig,-7.0298,157.1570
assoc,-3.1284,92.9401
sig,9.6108,270.6166
assoc,13.6984,104.9780
sig,3.3396,289.7824
assoc,22.2500,285.8776
assoc,24.9507,176.7032
sig,11.9454,277.2240
sig,18.0784,96.7309
sig,15.2256,274.2218
sig,15.3585,250.1018
assoc,16.7827,178.8955
assoc,1.9323,279.2989
sig,21.7271,277.8570
sig,25.6666,279.1436
sig,10.5036,262.9116
sig,1.2690,33.8266
sig,5.3093,284.4701
sig,19.1168,182.1344
sig,19.1173,182.1350
assoc,20.7670,308.5177
assoc,16.4153,265.0720
assoc,16.4316,344.9475
assoc,13.2373,313.1029
sig,18.4522,254.8535
sig,15.0401,271.1046
assoc,14.3229,146.6165
sig,5.9215,286.0636
assoc,18.9829,283.0121
assoc,9.7822,285.9733
assoc,16.4269,268.7611
sig,7.2297,20.7553
sig,10.4258,353.2727
sig,10.1060,353.5996
sig,-14.4549,183.9579
assoc,-15.1907,184.7572
sig,11.9458,276.3501
sig,11.7151,275.2066
assoc,14.0094,153.2680
sig,21.5132,284.4622
sig,9.0818,298.2160
sig,-2.2506,139.4676
assoc,19.8854,277.2767
sig,25.9548,260.9186
sig,19.2342,283.2812
sig,25.1895,81.5704
sig,17.9463,66.4104
assoc,17.7389,141.6026
sig,20.2008,270.2792
sig,24.2274,87.4076
sig,15.6392,284.0007
sig,3.3475,296.5590
assoc,18.2850,268.0703
assoc,-8.5194,16.9917
assoc,-8.5195,16.9917
sig,17.3817,145.7214
sig,18.8405,147.4050
assoc,20.5390,153.0725
assoc,5.8060,286.2566
assoc,14.7027,114.5401
sig,18.1607,151.9450
sig,-9.0022,179.4256
sig,3.9568,293.7593
assoc,11.3082,107.0041
sig,4.5526,27.4479
assoc,14.0508,152.5670
sig,-5.7290,159.0871
sig,-4.1110,160.6719
assoc,19.2785,288.3223
assoc,-1.7709,285.7282
sig,-2.0450,285.9940
sig,14.3886,148.2568
assoc,14.1457,148.5184
assoc,-15.6957,169.1181
sig,-13.3899,171.6119
sig,-8.4139,176.7378
assoc,5.3207,283.2568
sig,10.8019,288.7475
assoc,14.8392,268.7427
assoc,-9.5230,147.4137
assoc,14.6817,288.8915
assoc,11.2729,285.2836
assoc,14.2375,70.0480
sig,22.9801,102.0596
sig,-11.2729,161.9952
assoc,-8.6050,164.7122
assoc,3.3999,144.2878
sig,7.5421,75.5726
assoc,12.5723,76.7631
sig,21.5220,88.1333
sig,14.6174,119.5807
assoc,17.0899,263.9437
sig,12.1012,281.0674
sig,18.3796,261.4767
sig,-3.8427,20.4918
sig,21.9071,310.3239
assoc,8.2721,101.1650
sig,9.5093,102.4119
sig,13.7104,272.6681
assoc,14.5452,127.9908
sig,-0.7348,11.1174
sig,7.2241,72.1981
assoc,21.5786,173.8788
sig,17.4452,261.0052
sig,-9.0110,137.2912
sig,-3.8824,142.3672
assoc,5.5137,285.2426
sig,6.6112,121.9419
sig,5.2941,123.2396
assoc,7.0596,97.2337
sig,7.7877,23.7162
assoc,25.6000,266.2115
assoc,12.3991,281.9626
assoc,7.0106,287.4437
sig,-10.7141,18.7875
sig,-2.1370,126.5131
assoc,0.8009,98.9873
sig,6.4019,104.4517
sig,0.1510,118.6767
sig,14.7069,77.5154
sig,13.1733,273.3035
sig,-1.1932,16.3800
assoc,7.9679,118.4412
assoc,1.0461,14.6050
sig,8.7350,120.4379
sig,11.7287,283.2773
assoc,-0.2347,292.6915
assoc,2.8862,295.7162
assoc,7.3191,300.0679
assoc,10.3334,109.0058
sig,15.1294,114.0640
sig,12.4142,349.8437
sig,11.5930,101.7604
sig,11.6260,143.0985
assoc,18.0838,256.6491
sig,13.9399,261.2478
assoc,13.6842,257.5819
sig,7.4334,349.2330
assoc,18.8506,264.2631
assoc,-4.3605,21.0491
assoc,24.5582,152.1484
assoc,10.4058,285.8972
sig,-2.6722,121.7345
assoc,-7.8281,43.8799
assoc,2.3075,5.2449
assoc,2.7307,22.6790
sig,1.2261,97.3103
sig,25.0356,50.6271
sig,7.7269,6.6255
sig,4.0982,13.4711
assoc,1.4363,186.6831
sig,-0.3224,23.6553
sig,6.8345,112.4051
sig,-6.2211,28.0792
assoc,-5.9157,135.5849
assoc,-21.7416,45.6071
sig,-1.4254,19.4609
assoc,-7.9153,25.8240
assoc,-4.9733,11.2614
sig,-17.9511,48.9341
sig,3.0353,7.2251
sig,20.8072,126.1126
sig,-13.8722,12.2783
assoc,12.8795,130.5503
assoc,11.5433,80.6297
assoc,0.0096,113.7975
assoc,0.6120,296.6725
assoc,13.3873,276.8170
sig,1.4211,2.3729
assoc,23.4036,261.1587
sig,3.5129,117.8476
assoc,3.9609,126.8092
assoc,-9.8999,109.2915
sig,7.2550,97.9212
sig,3.8312,110.9488
assoc,7.8167,280.7745
sig,-0.5218,127.0554
sig,-14.6373,133.1822
assoc,2.0102,101.3117
sig,-16.4470,127.2576
assoc,-3.4019,116.3941
assoc,4.3138,123.8798
sig,-5.7576,134.4176
sig,-4.1413,136.0015
sig,-5.8331,139.7900
sig,-14.8992,44.3739
assoc,4.7137,340.0283
assoc,6.3382,116.1408
assoc,-13.5105,38.7573
assoc,-9.9097,110.5989
sig,-11.7287,35.9404
sig,6.4326,350.8025
sig,6.1750,351.0569
sig,-11.5812,8.5383
assoc,5.6133,121.8813
sig,-2.2283,19.5565
sig,-4.6260,107.9936
sig,-10.3562,23.6741
sig,-16.8775,18.5831
sig,-14.3174,21.4022
sig,-9.8597,26.0625
sig,-8.0330,27.9052
sig,-9.7860,119.2538
sig,-5.5949,123.4385
assoc,-12.3122,19.5984
assoc,10.8189,278.2096
sig,-3.3294,20.7377
assoc,-9.1954,55.2911
assoc,2.4037,137.0589
sig,-12.4994,54.7596
sig,-10.2066,121.2469
assoc,6.1016,80.9893
assoc,-6.2006,127.4402
sig,-3.3011,130.2800
sig,-2.2211,157.9385
sig,-7.1019,114.1939
sig,-13.2832,120.5160
sig,-8.2478,107.4763
assoc,-8.8139,108.0449
assoc,-12.8567,133.1407
sig,5.8570,283.8703
sig,-9.9686,129.5462
sig,-14.2425,127.7323
sig,-14.1097,127.8752
sig,-1.9461,113.7594
sig,-14.6699,126.6149
sig,-6.7668,21.4226
assoc,15.6338,254.1247
assoc,-10.9631,131.8571
assoc,-7.0087,168.6516
sig,-9.9825,141.4033
assoc,-8.1346,129.0605
sig,-16.3487,36.7055
assoc,-13.5032,125.9519
sig,-13.2377,126.4466
sig,-17.7993,34.4161
sig,-19.4933,125.5857
sig,-12.6962,20.9653
sig,-14.8772,43.6288
sig,-10.1498,40.9432
sig,-11.1450,132.8018
sig,-6.7297,31.2937
assoc,-14.5586,39.3538
assoc,-14.0442,131.9213
sig,-21.0417,115.6724
assoc,-15.5824,153.9246
sig,0.1829,112.1191
assoc,-4.3102,138.4403
assoc,-8.3867,148.3249
sig,-11.2457,141.4891
sig,-6.0329,146.7366
assoc,7.6399,228.9285
sig,-10.9057,40.8639
sig,-8.5389,209.1699
sig,8.4367,68.4534
sig,8.0397,181.5084
sig,-1.2911,116.0190
assoc,1.5049,352.5347
assoc,-4.3885,157.6050
sig,-9.1651,31.5595
assoc,-20.3363,15.4143
sig,-1.2563,11.1521
assoc,-11.7401,119.0837
assoc,-8.0144,146.1725
assoc,-17.8064,131.8526
assoc,-7.3375,138.9948
assoc,-13.8374,31.3411
sig,-15.4005,139.1803
sig,-8.2413,15.2436
assoc,4.6908,120.0060
sig,-1.5232,28.9847
assoc,-13.0032,133.9072
sig,-12.7359,134.1892
assoc,-10.3704,136.6434
assoc,-21.1648,27.5850
sig,-14.6582,128.2103
sig,-12.5366,130.4727
assoc,-24.6991,192.0539
assoc,-7.7228,27.2094
assoc,-17.9182,220.3452
sig,-2.1556,82.7620
sig,-7.2327,39.2102
assoc,-16.9012,49.3536
sig,-4.9812,122.2685
sig,-14.5816,132.0720
assoc,-15.5009,133.0741
assoc,-18.1593,229.1893
sig,-13.1625,25.6245
sig,-11.8470,27.0059
assoc,-10.0854,42.8009
sig,-13.5055,46.3602
sig,-11.5205,140.8050
sig,-6.4658,108.0371
assoc,-7.8886,140.5730
assoc,-16.4414,86.3161
sig,-11.6352,45.1256
assoc,1.8323,5.2145
assoc,-3.3990,155.0165
sig,1.8403,101.4161
assoc,-1.6699,145.4945
sig,-9.2092,145.0774
assoc,0.9608,106.9220
sig,-17.8560,53.3577
sig,-7.6349,110.9048
assoc,-22.0256,236.7034
sig,-13.8950,124.8022
assoc,0.5340,107.1255
assoc,-4.4969,77.9823
sig,-7.3916,14.8387
assoc,-12.9687,134.3718
assoc,-7.3889,115.8149
assoc,-4.1563,94.7376
assoc,-5.7806,199.4958
sig,-12.1282,204.1143
assoc,-5.0862,28.9807
assoc,15.3145,198.7609
assoc,-4.7593,26.0328
sig,-1.3113,340.8639
sig,-1.3097,340.8654
sig,-12.5499,62.7818
assoc,-14.1777,105.6569
sig,-20.8239,25.2720
sig,-12.3510,233.5680
sig,-15.9122,132.6994
assoc,-2.6405,121.9818
sig,-21.8410,28.6795
assoc,1.2727,93.6772
assoc,-7.0394,105.9191
assoc,-13.7209,18.4487
sig,6.1527,96.9961
assoc,-6.3860,109.2116
assoc,-0.6390,100.4208
sig,-6.7153,21.7053
sig,-15.3036,130.2100
sig,-11.5116,134.2448
assoc,-10.3934,131.4794
sig,-5.3147,15.2523
sig,-8.7866,129.1935
assoc,-4.6337,213.1283
sig,-0.0897,87.4083
assoc,-2.1683,36.9807
assoc,-2.1709,127.8746
sig,-0.1069,129.8737
sig,-9.3198,15.9439
sig,-6.4541,111.9381
assoc,6.6568,101.9535
sig,-8.1258,25.7455
sig,3.3178,101.3128
assoc,-2.5627,147.7055
assoc,11.5290,275.4631
sig,-6.8327,15.2878
sig,-3.3129,120.2605
sig,1.4238,91.4097
assoc,-14.7627,83.3643
sig,0.3107,19.7021
assoc,6.6179,106.6870
assoc,-4.3691,117.3775
assoc,3.8256,260.4434
assoc,-3.2501,10.9743
sig,-24.0827,154.0467
sig,-17.8652,113.2121
sig,-15.2995,116.0872
sig,11.3357,260.0138
sig,2.4634,97.9024
assoc,3.2867,94.7895
sig,4.4766,348.2742
sig,4.4764,348.2743
assoc,17.0237,262.4969
sig,23.3702,84.9734
assoc,4.0769,9.0116
sig,-1.3337,9.7008
assoc,2.2166,70.2732
assoc,1.2690,64.9626
assoc,5.0354,20.5861
assoc,16.9942,112.9236
sig,-11.8168,190.3777
sig,3.5962,11.5010
assoc,-4.1831,107.1549
sig,7.0666,277.8669
sig,15.0591,116.3162
sig,3.3565,27.7123
sig,16.9945,122.5869
assoc,18.6177,278.4222
assoc,0.9930,304.8513
assoc,6.7999,129.3590
assoc,0.7639,135.2507
sig,-3.6229,18.1974
sig,9.3924,122.8590
assoc,-19.1071,220.7034
assoc,17.9001,275.7565
assoc,0.6667,268.5233
sig,10.4182,130.4540
assoc,20.7343,260.6828
sig,17.8182,264.1351
sig,22.6523,84.5490
sig,5.7532,253.9429
sig,21.3867,78.3396
sig,-10.5250,88.4968
sig,-10.5244,88.4975
sig,-10.5242,88.4977
sig,6.1922,14.2198
assoc,23.0724,281.6390
assoc,14.1556,305.8358
sig,10.0569,285.8600
sig,6.6334,22.4266
sig,8.8429,283.1854
sig,5.2175,16.0129
sig,4.2378,120.2682
assoc,1.4321,20.4988
sig,20.7141,68.2867
assoc,10.0510,267.7059
assoc,10.7936,147.1676
assoc,10.9951,265.3765
assoc,6.8215,280.9145
sig,4.5855,60.3739
sig,9.1649,8.5873
assoc,16.1599,278.9251
sig,2.2015,303.1072
assoc,10.2111,285.1572
assoc,17.9057,279.0795
sig,7.8006,289.8032
assoc,0.3773,297.0663
sig,5.1761,292.6798
assoc,17.8354,156.4537
sig,6.0302,95.5393
sig,15.7965,81.3812
sig,10.8083,198.3604
sig,-9.2442,96.8113
assoc,24.4080,146.6303
assoc,11.4166,32.6479
sig,21.0660,254.2774
assoc,11.1213,255.7193
sig,12.5834,257.2414
assoc,7.9297,272.8421
assoc,1.3137,96.5417
sig,25.0667,276.5191
sig,8.1085,292.0162
assoc,15.4539,260.0930
sig,16.3908,266.1155
sig,7.4237,180.0530
sig,1.4466,125.6832
assoc,20.0640,145.1706
assoc,11.3890,280.8754
sig,-1.8597,98.2233
sig,18.6128,139.5494
sig,12.4333,275.8852
sig,8.7654,279.6501
assoc,16.3347,126.1119
sig,10.1141,271.9987
sig,-1.8874,138.9123
sig,5.6096,121.9375
assoc,6.9933,123.3041
sig,13.2971,129.7504
sig,11.9528,272.4863
assoc,22.3621,139.3050
sig,12.8968,122.0354
sig,-3.5374,105.2482
assoc,11.1705,285.6412
sig,18.3366,278.0532
assoc,12.6547,280.4079
sig,13.3695,86.0646
sig,9.8818,272.6164
sig,24.9982,88.1431
assoc,16.3363,264.7248
assoc,16.1510,264.9310
sig,15.4690,265.6843
assoc,15.4688,265.6846
sig,11.1633,173.2193
sig,24.3479,253.2762
assoc,3.6637,267.2991
assoc,17.6965,267.9526
sig,13.8470,273.7041
sig,23.2926,281.4832
assoc,12.0303,270.2257
sig,10.4544,271.8539
assoc,8.1352,274.2005
sig,21.8792,137.7415
sig,5.5575,261.3516
sig,6.6161,262.3959
sig,14.4480,259.8644
assoc,13.2717,277.8512
sig,14.0350,268.9748
sig,13.5164,269.5290
assoc,-6.2551,119.3025
sig,18.5223,284.3320
assoc,2.4750,300.9948
sig,24.3281,131.5174
sig,22.8845,133.4282
sig,-5.2686,138.6943
sig,22.4040,130.1490
assoc,19.6587,116.0596
assoc,17.0684,254.7070
assoc,8.9026,125.7170
assoc,-5.5749,91.3494
sig,23.0777,84.3635
sig,21.8010,83.2655
assoc,23.4386,295.5990
sig,-0.1166,296.5851
sig,-1.2065,289.4322
assoc,-0.4018,290.2112
sig,3.7751,294.2622
sig,6.2277,296.6669
sig,18.5716,293.8163
sig,-3.3843,25.0961
assoc,19.7088,143.0194
assoc,5.3904,288.0471
sig,21.5433,159.9513
assoc,20.3837,283.8677
sig,-0.8494,108.2704
assoc,6.0126,280.8656
assoc,8.5659,283.4054
sig,-9.0542,169.0883
assoc,-6.6369,171.5028
assoc,-13.0660,164.8149
assoc,-6.2509,135.9374
sig,1.5825,95.0397
assoc,20.6147,90.8033
assoc,-13.1571,173.5283
assoc,-8.6303,23.3608
assoc,-6.6596,26.8097
assoc,19.2564,291.9237
sig,-14.2174,156.8200
assoc,20.2944,269.2687
assoc,10.2665,298.5888
assoc,2.3105,120.8953
sig,-21.2700,308.9074
sig,-21.2742,308.9126
sig,5.8006,3.0031
sig,15.3077,271.8595
assoc,-2.8158,18.5159
sig,15.9698,341.4754
assoc,5.0638,305.9735
sig,8.7740,100.3289
assoc,21.4758,248.3384
sig,19.3713,105.3399
assoc,8.4078,107.4242
sig,19.8096,119.7698
assoc,24.7128,94.6600
assoc,9.7869,129.1816
sig,23.4528,92.4574
sig,-0.6835,139.2602
assoc,15.5304,273.0026
assoc,16.7744,331.4574
assoc,24.3462,158.4772
sig,20.2596,254.6197
sig,9.7979,266.1067
sig,23.3626,274.5684
sig,17.1236,242.7321
sig,12.8463,283.3169
sig,10.9639,285.2784
assoc,20.9649,80.0457
assoc,13.2330,279.0135
sig,6.8823,285.5030
sig,4.3932,294.5373
assoc,18.7087,163.9949
sig,6.1984,29.4551
sig,16.7499,271.3678
sig,20.9970,82.2847
assoc,22.1928,298.2207
assoc,21.0088,264.6917
sig,14.2273,267.1747
assoc,3.5897,277.9577
assoc,2.8390,282.2475
assoc,9.4266,288.7596
assoc,19.7973,135.6836
assoc,5.4761,288.6975
assoc,16.7557,309.1256
sig,13.5819,106.7450
sig,-20.6544,214.1653
assoc,-17.3921,218.0078
assoc,19.1340,262.5754
assoc,15.9810,266.1757
sig,13.1855,269.2022
sig,11.5070,270.9607
sig,4.5119,104.2671
assoc,8.0149,284.3580
assoc,6.8408,296.9775
sig,4.4739,299.3059
assoc,3.5068,17.8732
sig,7.7436,29.2233
assoc,9.0110,290.9206
assoc,15.7293,289.4488
assoc,13.2852,275.1365
sig,10.7795,34.8597
sig,17.5986,262.3281
sig,5.3380,287.7319
assoc,12.2122,276.9072
sig,0.2548,21.9329
sig,20.6209,159.1909
assoc,19.3846,275.1090
sig,-3.0327,17.3459
assoc,17.6853,283.5352
sig,11.9963,287.3071
sig,13.5745,285.0841
sig,4.7292,26.2982
assoc,24.7334,201.3543
sig,-3.1101,26.1352
assoc,8.9761,22.1942
assoc,17.3984,301.2924
sig,-9.2346,186.7382
sig,-9.3619,158.4701
sig,-7.0416,160.7942
assoc,6.8720,280.3322
assoc,5.8544,266.5121
sig,12.5823,127.7786
assoc,4.7552,285.8113
assoc,12.3075,269.1576
assoc,7.2598,142.7292
sig,12.3994,99.4475
assoc,24.5747,206.9245
assoc,1.0840,11.5144
assoc,2.8610,130.6500
sig,21.4693,126.2268
assoc,23.3798,128.6718
sig,5.2875,84.5023
assoc,-1.2368,127.1456
sig,-7.2198,141.2079
assoc,1.6197,149.8228
sig,13.3944,80.5453
assoc,-12.7772,196.6658
assoc,11.7191,289.8929
sig,-6.5858,150.5708
sig,7.7046,63.6061
assoc,6.9699,301.5803
sig,-10.4615,106.8968
sig,9.0574,126.0991
sig,2.4199,137.1836
sig,3.7592,286.7867
sig,7.3818,346.7631
sig,20.3089,158.7717
assoc,12.9288,292.5765
sig,12.9142,292.5920
sig,-18.5841,138.8369
sig,12.8030,143.2777
assoc,-0.6447,298.3220
sig,-4.5624,101.1439
sig,-8.0119,93.8568
assoc,2.0661,293.8833
sig,7.4113,80.7969
sig,0.9275,288.9012
sig,-4.1589,120.2859
assoc,4.7810,288.7695
sig,-3.9140,151.2816
assoc,9.4706,67.3539
assoc,12.0330,278.9929
sig,-6.2341,102.9358
assoc,-11.7087,108.4657
assoc,15.4086,252.1491
assoc,-21.1696,221.0152
assoc,1.4210,8.0261
sig,3.1717,127.1426
sig,-13.3327,131.1403
sig,-6.4326,124.5270
assoc,-10.5618,128.6765
assoc,7.9488,276.4205
sig,11.3356,277.9766
sig,12.2194,278.8961
assoc,-12.2172,206.1024
assoc,16.3998,320.9663
sig,-1.8731,24.0651
assoc,9.3723,130.4694
sig,-6.3529,141.9943
assoc,6.5751,80.8781
assoc,11.8207,117.4473
assoc,13.8419,119.5796
sig,3.7101,4.5493
sig,-7.6032,147.8472
assoc,-3.2154,152.1610
sig,4.8274,3.1278
assoc,-14.1569,161.4778
sig,14.3248,89.1411
sig,-10.2226,133.6027
sig,0.5352,358.6445
sig,-14.9384,132.5401
sig,-12.7629,127.1030
assoc,2.9111,284.3070
sig,-5.4088,82.1675
assoc,15.4405,244.6837
assoc,-13.1654,167.4598
assoc,9.5866,92.9859
sig,-0.4914,151.9910
sig,-4.5034,26.8049
assoc,-8.0566,33.2798
sig,7.4453,103.4935
sig,-0.5946,22.8704
sig,2.1316,13.9172
sig,-16.6761,132.7230
sig,-19.9741,125.0346
assoc,-6.9450,204.0778
sig,1.7001,352.8321
sig,-18.0804,18.6451
sig,-0.3551,11.3514
sig,-11.7463,139.1175
assoc,21.7805,271.3720
assoc,-12.8087,134.1439
sig,0.1328,25.7359
sig,24.5941,45.5038
sig,1.9187,23.6038
sig,-12.5730,29.6393
sig,-13.3448,49.2216
sig,-3.2167,15.2092
sig,-18.4026,31.0158
assoc,-11.2466,140.7271
sig,-13.8286,40.9842
assoc,13.0110,254.1195
assoc,6.1961,277.8429
assoc,2.4483,281.5067
assoc,-21.1158,21.0677
sig,-16.3936,136.3111
assoc,7.3671,216.5892
assoc,11.5080,257.5084
sig,-14.9747,33.1258
assoc,-19.8608,120.7262
sig,-15.7788,106.8764
assoc,-16.9265,214.0108
assoc,-9.8104,133.6571
assoc,-12.0638,124.4067
assoc,12.8809,241.2949
assoc,-23.1942,218.8498
sig,-15.6261,137.0547
sig,-22.2186,47.7899
assoc,6.3864,99.6259
assoc,-14.4426,23.3126
sig,-23.5225,34.0582
assoc,-0.9349,103.0009
sig,-18.6886,145.5043
assoc,-18.9013,48.7221
sig,-16.4172,139.0570
sig,-19.5229,142.6327
sig,-20.2192,143.4677
assoc,-14.2384,15.3834
sig,-14.4592,133.0533
sig,-16.7637,135.5905
assoc,-18.5386,137.6199
sig,-9.4693,30.8141
sig,-10.7822,32.1536
sig,-22.2228,230.8581
sig,1.0518,85.6468
sig,-19.3612,147.4275
assoc,-2.5824,344.3405
assoc,-16.1496,42.8607
sig,-22.1657,139.3044
assoc,-2.3455,14.5694
sig,-17.1700,142.1743
assoc,-21.6468,123.2395
assoc,-19.2277,127.0842
sig,-6.0121,19.8338
sig,-13.9360,153.4257
assoc,25.9418,282.4459
assoc,-20.2818,227.4326
sig,-15.5071,124.9098
assoc,-25.6405,119.9917
sig,-24.8135,121.1431
assoc,-21.5047,170.1299
assoc,-1.6392,21.3990
sig,-17.1055,22.1090
assoc,-3.7004,153.3895
sig,1.3562,348.4940
assoc,-13.1339,43.0069
sig,-3.9358,106.5175
sig,-18.8719,125.9627
assoc,-17.8198,127.1826
sig,-20.8613,40.2352
sig,0.7245,114.1792
assoc,4.4463,130.5095
sig,-15.8546,9.2820
sig,-5.0994,149.6330
sig,-2.3148,25.6323
sig,7.6684,84.8188
sig,-1.8034,112.9079
sig,-14.9064,144.3224
assoc,-11.5246,123.6534
assoc,5.4300,269.5489
sig,-15.4962,213.8570
sig,-8.2029,212.5180
assoc,-10.9276,225.5738
assoc,3.5182,1.8112
sig,-7.0073,120.7480
assoc,9.7427,121.5775
assoc,-20.9458,225.2088
assoc,-10.9653,92.7995
sig,22.6547,176.9316
sig,22.6549,176.9319
sig,22.6551,176.9322
sig,22.6555,176.9327
sig,22.6562,176.9336
sig,22.6563,176.9337
assoc,17.3366,122.0079
assoc,-12.1592,196.1066
assoc,-11.9967,207.1920
assoc,-21.2178,190.9679
sig,-5.4730,149.7417
assoc,-7.7505,144.3165
sig,-10.4853,169.1370
sig,-4.1931,5.6176
assoc,-3.0787,35.0176
sig,-6.0598,37.9341
sig,-3.2632,123.9644
sig,-4.8348,114.7503
assoc,-8.9482,131.0848
sig,4.7482,120.2225
assoc,-9.4970,191.9700
assoc,-17.9790,55.5312
sig,-3.0517,11.9648
sig,4.6619,108.6235
sig,0.0471,25.5412
assoc,-8.8186,27.7461
sig,2.2426,103.6630
assoc,-3.2404,118.7686
assoc,9.4612,106.9529
sig,5.7230,341.9438
assoc,-1.1631,356.0240
sig,-4.4922,106.0436
assoc,7.9487,121.1511
assoc,2.2947,250.4873
sig,1.4437,2.4133
sig,-1.5935,5.3542
sig,8.7263,60.3493
sig,7.6420,337.4256
assoc,-15.9476,144.0297
sig,12.0202,267.6148
sig,-0.7660,13.8945
sig,-4.3917,41.2481
sig,1.1692,11.5972
sig,2.4942,6.4791
sig,3.5642,10.4272
assoc,-3.9406,23.5714
sig,4.6951,356.6669
sig,5.8908,102.0643
assoc,-4.3919,167.6173
assoc,2.4052,309.2937
sig,1.6956,16.1742
sig,-4.6658,11.3675
assoc,-3.5918,12.4159
assoc,-3.5917,12.4159
sig,0.3814,133.7146
sig,0.2824,109.3641
assoc,-10.2977,26.1756
sig,-1.7687,157.4007
sig,5.5000,256.1369
assoc,9.8301,48.9871
sig,15.6266,253.5126
assoc,10.0125,259.4435
sig,-9.3857,19.4421
assoc,9.1809,252.1391
sig,5.8159,103.2600
assoc,6.7649,137.5953
assoc,2.5631,141.7101
sig,-4.0743,138.3259
sig,1.9021,119.8658
sig,17.6117,267.8806
sig,5.7656,99.3807
sig,8.7496,131.7835
assoc,12.3628,103.8212
sig,-0.3703,16.8143
assoc,9.1503,264.8755
sig,3.1556,89.1700
assoc,-5.2364,8.2525
sig,-2.6779,135.2969
sig,-4.9873,16.2691
sig,-2.2427,155.2992
assoc,2.3596,126.5866
sig,8.4102,258.5069
assoc,-1.5383,98.4449
sig,9.0579,103.9375
assoc,16.1099,267.0205
sig,15.8478,117.9528
sig,4.9560,282.4169
assoc,-1.9467,102.1038
sig,3.3664,107.2527
assoc,-3.7287,105.6860
sig,9.7698,15.8633
sig,-8.3751,112.3835
sig,3.5972,95.9940
sig,17.9670,262.3866
assoc,5.4824,105.6861
assoc,7.0394,281.9315
assoc,6.1388,121.6440
sig,10.2573,87.3054
sig,0.6996,18.4453
sig,6.7582,288.2993
sig,5.8959,289.1509
assoc,4.0926,290.9182
sig,9.2677,11.3327
sig,17.3315,267.2812
assoc,-5.7546,146.9675
